nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia,tercera_columna
Spray protector solar FP20 Protege & Broncea Nivea Sun 270 ml.,16.49,6.111,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Funda para Tabla de Planchar Metalizada VILEDA Rapid,16.49,16.49,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/ud,
Spray protector solar antialergias solares FP50+ Sensitive Protección Nivea Sun 270 ml.,16.49,6.111,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Pomada para proteger la zona del pañal Mitosyl 145 g.,16.49,11.371,bebe,perfumeria e higiene,Cuidado facial y corporal,€/100g,
Lavavajillas a máquina en pastillas Ultimate Finish Powerball 29 ud.,16.49,0.57,limpieza y hogar,productos para cocina,Limpieza y hogar,€/lavado,
Agua de colonia Classic David Beckham 100 ml.,16.45,16.451,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Ginebra Puerto de Indias lemonberry 70 cl.,16.45,23.5,bebidas,alcoholes,Bodega,€/l,
Pants Pull-Ups niño Huggies T6 (15-23 kg) 28 ud.,16.45,0.59,bebe,panales y toallitas,Cuidado facial y corporal,€/ud,
"Ginebra Puerto de Indias strawberry 0,0 sin alcohol 70 cl.",16.45,23.5,bebidas,alcoholes,Bodega,€/l,
Tanqueray Flor De Sevilla Ginebra,16.45,23.5,bebidas,alcoholes,Bodega,€/l,
"Bacalao 1,5 kg aprox",16.42,10.95,productos frescos,pescaderia,Marisco y pescado,€/kg,
Acondicionador con mango Klorane 200 ml.,16.39,8.191,parafarmacia,cabello,Cuidado del cabello,€/100ml,
Queso de cabra tierno El Ventero 550 g,16.39,29.8,productos frescos,quesos,Charcutería y quesos,€/kg,
Proteína vegana de vainilla Weider sin gluten 300 g.,16.39,54.63,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Leche infantil desde 1 día en polvo Nutribén sin lactosa 1 sin aceite de palma lata 400 g.,16.39,40.97,parafarmacia,bebe,Bebé,€/kg,
Gel suave fisiológico para la higiene íntima diaria Germisdin 500 ml.,16.39,3.281,parafarmacia,cuidado corporal,Cuidado facial y corporal,€/100ml,
"Queso viejo mezcla Tierra de Tradición pieza 1,1 kg.",16.39,14.9,productos frescos,quesos,Charcutería y quesos,€/kg,
Champú lemongrass citronela ecológico Urtekram 500 ml.,16.39,3.281,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Estuche Poseidon Gold: colonia 100 ml y after shave 100 ml.,16.39,16.39,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/ud,
Bruma protectora anti arena SPF50+ Niños Sensitive Advanced Garnier Delial 150 ml.,16.39,10.931,parafarmacia,cuidado corporal,Cuidado facial y corporal,€/100ml,
Vitaminas y coenzima Q10 gummies adultos Supradyn 50 ud.,16.39,8.191,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,€/100g,
Aceite de rosa de mosqueta Phytofarma 30 ml.,16.35,54.501,parafarmacia,cuidado corporal,Cuidado facial y corporal,€/100ml,
Pañales Carrefour Baby Ultra Dry Talla 5 Junior (12-20 kg) 84 uds,16.35,0.19,bebe,panales y toallitas,Cuidado facial y corporal,€/ud,
Pañales Carrefour Baby Ultra Dry Talla 5 (12-20 kg) 84 ud.,16.35,0.19,bebe,panales y toallitas,Cuidado facial y corporal,€/ud,
Recambios maquinilla ingles y zona íntima Venus Gillette 4 ud.,16.35,,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,No especificado,
Colutorio de uso diario que previene el sangrado gingival causado por encías delicadas y gingivitis Gingilacer 1000 ml.,16.29,1.631,parafarmacia,higiene bucal,Cuidado facial y corporal,€/100ml,
Café en grano natural espresso intenso Caffè Borbone 1000 g.,16.29,16.29,la despensa,desayuno,Cereales y galletas,€/kg,
Detergente en cápsulas poder quitamanchas Vanish Power Caps Advanced Colon 32 ud.,16.29,0.51,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Café grano natural arábica ecológico Saula 500 g.,16.29,32.58,la despensa,desayuno,Cereales y galletas,€/kg,
"Cacao soluble sin azúcar añadido Cola Cao 1,6 kg.",16.25,10.16,la despensa,desayuno,Cereales y galletas,€/kg,
Crema hidratante rostro Cerave 52 ml.,16.25,31.251,parafarmacia,cuidado e higiene facial,Cuidado facial y corporal,€/100ml,
Baileys Deliciously Light Cremas,16.25,23.21,bebidas,licores y cremas,Bodega,€/l,
Terras Gauda Blanco 2022,16.25,16.25,bebidas,vinos,Bodega,€/ud,
Recambios maquinilla Venus Deluxe Smooth Swirl Gillette 3 ud.,16.25,5.42,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,€/ud,
Licor 43 70 cl.,16.25,23.21,bebidas,alcoholes,Bodega,€/l,
Bruma solar protectora SPF 50 Silk Hydration Hawaiian Tropic 220 ml.,16.25,7.391,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Cerveza Estrella Damm mediterránea pack de 24 latas de 33 cl.,16.19,2.04,bebidas,cerveza,Bodega,€/l,
Recambio Sensor Excel Gillette 10 ud.,16.15,1.61,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,€/ud,
Potenciador de lavado quitamanchas en polvo sin lejía Oxi Advance Higiene Vanish 800 g.,16.15,20.19,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/kg,
Complemento alimenticio sabor vainilla Ensure NutriVigor 400 g.,16.15,40.37,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,€/kg,
Concentrado calmante xeracalm A.D Avène 50 cl.,16.15,32.301,parafarmacia,cuidado e higiene facial,Cuidado facial y corporal,€/100ml,
Sérum facial protector SPF50+ Ceramide Protect Invisible Super UV Delial 30 ml.,16.15,53.831,parafarmacia,cuidado corporal,Cuidado facial y corporal,€/100ml,
Crema de día antiedad intensiva FP15 Cellular Expert Filler Nivea 50 ml.,16.15,32.301,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Acondicionador a la quinina para cabello estresado y debilitado ecológico Klorane 200 ml.,16.15,8.071,parafarmacia,cabello,Cuidado del cabello,€/100ml,
Agua de colonia Zinnia 100 ml.,16.15,32.301,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Detergente en líquido limpio y liso Wipp Express 43 lavados.,16.09,0.37,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Pañales Carrefour Baby Ultra Dry Talla 4 (7-18 kg) 92 ud.,16.09,0.17,bebe,panales y toallitas,Cuidado facial y corporal,€/ud,
"Tabletas limpiadoras para prótesis dentales, férula dental y ortodoncia Acción Total Corega 66 ud.",16.09,0.24,parafarmacia,higiene bucal,Cuidado facial y corporal,€/ud,
Pañales Carrefour Baby Ultra Dry Talla 4 (8-16 kg) 92 ud.,16.09,0.17,bebe,panales y toallitas,Cuidado facial y corporal,€/ud,
Detergente gel poder limpieza higiénica Advanced Colon 40 lavados.,16.09,0.4,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Acondicionador avena Klorane 200 ml.,16.09,8.041,parafarmacia,cabello,Cuidado del cabello,€/100ml,
Frangelico Avellana,16.09,22.99,bebidas,licores y cremas,Bodega,€/l,
Pomada hipoalergénica para proteger la zona del pañal Bephantol 100 g.,16.09,16.091,bebe,perfumeria e higiene,Cuidado facial y corporal,€/100g,
Ron añejo Brugal 70 cl.,16.09,22.99,bebidas,alcoholes,Bodega,€/l,
Café con leche en cápsulas Nescafé Dolce Gusto 64 ud.,15.99,24.98,la despensa,desayuno,Cereales y galletas,€/kg,
Mojama de Atún De Nuestra Tierra taco de 300 g,15.99,53.3,productos frescos,pescaderia,Marisco y pescado,€/kg,
Café espresso intenso en cápsulas Nescafé Dolce Gusto 64 ud.,15.99,35.69,la despensa,desayuno,Cereales y galletas,€/kg,
Leche solar muy alta protección SPF 50+ Mustela 100 ml.,15.9,15.901,bebe,perfumeria e higiene,Cuidado facial y corporal,€/100ml,
Crema antiestrías Suavinex 250 ml.,15.9,6.361,parafarmacia,cuidado corporal,Cuidado facial y corporal,€/100ml,
VODKA IMPORTACION SMIRNOFF 1L,15.89,15.89,bebidas,alcoholes,Bodega,€/l,
Aceite de oliva virgen extra Maestros de Hojiblanca 1 l.,15.89,15.89,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Aceite de oliva virgen extra Carbonell 1 l.,15.89,15.89,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Aceite de oliva virgen extra arbequina Carbonell 1 l.,15.89,15.89,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Aceite de oliva virgen extra picual Carbonell 1 l.,15.89,15.89,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Aceite de oliva virgen extra hojiblanca Carbonell 1 l.,15.89,15.89,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Ramon Bilbao Reserva 2016,15.89,15.89,bebidas,vinos,Bodega,€/ud,
Pañales Carrefour Baby Ultra Dry Talla 3 (4-9 kg) 104 ud.,15.89,0.16,bebe,panales y toallitas,Cuidado facial y corporal,€/ud,
Aceite de oliva virgen extra picual ecológico Oro Bailén 500 ml.,15.89,31.78,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Pañales Carrefour Baby Ultra Dry Talla 3 (4-9 kg) 102 ud.,15.89,0.16,bebe,panales y toallitas,Cuidado facial y corporal,€/ud,
Ginebra Tanqueray 70 cl.,15.89,22.7,bebidas,alcoholes,Bodega,€/l,
Muslos de pato confitados Extra Carrefour 470 g.,15.85,33.72,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Champú leche de avena Klorane 400 ml.,15.85,3.961,parafarmacia,cabello,Cuidado del cabello,€/100ml,
Complemento alimenticio en cápsulas De Memory Study 30 ud.,15.85,31.701,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,€/100g,
Ginebra Larios Rosé premium 70 cl.,15.85,,bebidas,alcoholes,Bodega,No especificado,
Champú al lino para cabello fino y falto de volumen ecológico Klorane 400 ml.,15.85,3.961,parafarmacia,cabello,Cuidado del cabello,€/100ml,
Potenciador de lavado quitamanchas para ropa blanca en gel sin lejía Oxi Advanced Vanish 1500 ml.,15.85,10.57,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/l,
Beefeater Light Ginebra,15.85,22.64,bebidas,alcoholes,Bodega,€/l,
"Mochila rana multiproductos para bebé Nenuco: agua de colonia 200 ml, champú 200 ml, jabón líquido 200 ml y leche hidratante 200 ml",15.85,15.85,parafarmacia,bebe,Bebé,€/ud,
Champú a la centaurea para cabello blanco o gris un brillo plateado ecológico Klorane 400 ml.,15.85,3.961,parafarmacia,cabello,Cuidado del cabello,€/100ml,
Gel control imperfecciones CeraVe 40 ml.,15.79,39.471,parafarmacia,cuidado e higiene facial,Cuidado facial y corporal,€/100ml,
Loción hidratante Cerave 473 ml.,15.79,3.341,parafarmacia,cuidado corporal,Cuidado facial y corporal,€/100ml,
Gamba pelada salvaje cruda congelada 53/88 piezas Grand Krust 600 g.,15.79,26.32,congelados,mariscos congelados,Congelados,€/kg,
Licor de café Tia Maria 70 cl.,15.78,22.54,bebidas,licores y cremas,Bodega,€/l,
Crema protector solar niños FP50+ Protege & Cuida Kids Nivea Sun 200 ml.,15.75,7.871,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Spray protector solar FP30 Protege & Hidrata Nivea Sun 270 ml.,15.75,5.831,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Pañales Dodot Pro Sensitive T1 (2-5 kg.) 38 ud.,15.65,0.41,bebe,panales y toallitas,Cuidado facial y corporal,€/ud,
Viña Pomal Tinto Reserva 2017,15.65,15.65,bebidas,vinos,Bodega,€/ud,
Pants Pull-Ups niña Huggies T6 (15-23 kg) 28 ud.,15.59,0.56,bebe,panales y toallitas,Cuidado facial y corporal,€/ud,
Spray protector solar FP20 Protege & Hidrata Nivea Sun 270 ml.,15.59,5.771,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Colutorio par el mal aliento Halita 500 ml.,15.59,3.121,parafarmacia,higiene bucal,Cuidado facial y corporal,€/100ml,
Spray protector solar niños FP50+ Protege & Cuida Kids Nivea Sun 270 ml.,15.59,5.771,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Enjuague bucal especial encías Gingikin 1 l.,15.55,1.561,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,€/100ml,
Leche protectora solar SPF50+ Sensitive Advanced Garnier Delial 175 ml.,15.55,8.891,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Spray solar sport bruma protectora SPF 50 Ecran Sunnique 250 ml.,15.55,6.221,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Salchichón ibérico de bellota Esencia Única 600 g,15.55,25.92,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Vodka Eristoff 1 l.,15.55,15.55,bebidas,alcoholes,Bodega,€/l,
Pierna de cordero lechal El Mercado 650 g aprox,15.53,23.9,productos frescos,carniceria,Carne,€/kg,
Aceite de oliva virgen extra ecológico Coosur 1 l.,15.49,15.49,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Crema protectora facial con ácido hialurónico SPF50 anti-edad Super UV Garnier Delial 50 ml.,15.49,30.981,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Whisky Johnnie Walker Red Label escocés 70 cl,15.49,22.13,bebidas,alcoholes,Bodega,€/l,
Fluido ultraligero hidratante facial UV FP50+ Triple Protección Nivea Sun 40 ml.,15.49,38.721,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Ron Barceló añejo 70 cl.,15.45,22.07,bebidas,alcoholes,Bodega,€/l,
Jim Beam Bourbon Bourbon,15.45,22.07,bebidas,alcoholes,Bodega,€/l,
Sérum de noche con biotina hidratación y brillo con ácido hialurónico Pantene Pro-V 70 ml.,15.39,21.991,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Fluido facial acabado en seco derma skin clear FPS50+ Nivea Sun 40 ml.,15.39,38.471,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Pradorey Tinto Crianza 2017,15.39,15.39,bebidas,vinos,Bodega,€/ud,
Serum hidratante sin aclarado para puntas secas Pro-V Miracles Pantene 70 ml.,15.39,21.991,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Agua de colonia Hombre Don Algodón 200 ml.,15.35,7.671,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Aceite de oliva virgen extra ecológico Dcoop 1 l.,15.35,15.35,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Gafa presbicia cuadrada circular +2.00 colores varios 1 ud.,15.35,15.35,parafarmacia,botiquin,botiquin,€/ud,
La Montesa Tinto 2020,15.3,15.3,bebidas,vinos,Bodega,€/ud,
Crema Adhesiva Clasica Tamaño Ahorro Kukident 70 g.,15.29,21.841,parafarmacia,higiene bucal,Cuidado facial y corporal,€/100g,
Crema adhesiva premium Kukident 57 g.,15.29,26.821,parafarmacia,higiene bucal,Cuidado facial y corporal,€/100g,
Champú complemento anticaída Anaphase+ Ducray 200 ml.,15.29,7.641,parafarmacia,cabello,Cuidado del cabello,€/100ml,
Crema adhesiva para dentaduras postizas Pro Doble Acción Kukident 60 g.,15.29,21.841,parafarmacia,higiene bucal,Cuidado facial y corporal,€/100g,
Leche bruma protectora SPF30 Broncea+ Ecran Sunnique 250 ml.,15.29,6.121,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Crema corporal hydra bebe Mustela 750 ml.,15.29,2.041,bebe,perfumeria e higiene,Cuidado facial y corporal,€/100ml,
Leche bruma protectora SPF50 Broncea+ Ecran Sunnique 250 ml.,15.29,6.121,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Pants Agatha Ruiz de la Prada Talla 5 (12-18 kg) 40 ud. Exclusivo Carrefour,15.29,0.38,bebe,panales y toallitas,Cuidado facial y corporal,€/ud,
Crema facial hidratante antiedad FP15 Hyaluron Nivea Men 50 ml.,15.29,30.581,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Pants Agatha Ruiz de la Prada Talla 6 (+ 16 kg) 36 ud. Exclusivo Carrefour,15.29,0.42,bebe,panales y toallitas,Cuidado facial y corporal,€/ud,
"Pescadilla 1,7 kg aprox",15.28,8.99,productos frescos,pescaderia,Marisco y pescado,€/kg,
Aceite seco en spray Bruma SPF 30 Hawaiian Tropic 180 ml.,15.25,8.471,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Vitaminas para la memoria Memorex Forté Pharma - Energy 56 comprimidos.,15.25,14.521,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,€/100g,
Bruma protectora Invisible Protect SPF30 Garnier Delial 200 ml.,15.25,7.621,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Pienso de pollo para perro adulto medium maxi Ultima 3 Kg,15.19,5.06,mascotas,perros,Mascotas,€/kg,
Licor Campari 70 cl.,15.19,21.7,bebidas,alcoholes,Bodega,€/l,
Llopart Brut Nature Espumoso Blanco 2019,15.19,15.19,bebidas,cava y champagne,Bodega,€/ud,
Potenciador de lavado quitamanchas para ropa en gel sin lejía Oxi Advance Vanish 1500 ml.,15.19,10.13,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/l,
Crema fijadora para prótesis dentales máximo sellado Corega 70 g.,15.19,21.701,parafarmacia,higiene bucal,Cuidado facial y corporal,€/100g,
Leche solar activadora del bronceado FP 30 Protege & Broncea Nivea Sun 200 ml.,15.19,7.591,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Spray bruma protectora para pieles sensibles y atópicas SPF50+ Ecran Denenes 250 ml.,15.19,6.081,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Spray bruma invisible protectora SPF 50 Ecran Sunnique 250 ml.,15.19,6.081,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Pienso de pollo y arroz para perro cachorro medium Ultima 3 Kg.,15.19,5.06,mascotas,perros,Mascotas,€/kg,
Pienso light pollo y arroz para perros adultos medium maxi Ultima 3 Kg,15.19,5.06,mascotas,perros,Mascotas,€/kg,
Agua de colonia Brummel 500 ml.,15.15,3.031,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Loción Talquistina 200 ml.,15.15,7.571,parafarmacia,botiquin,botiquin,€/100ml,
Pants de incontinencia absodys men Talla L Carrefour 14 ud.,15.15,1.08,perfumeria e higiene,higiene intima,Cuidado facial y corporal,€/ud,
Ballantine'S Light Whisky,15.15,21.64,bebidas,alcoholes,Bodega,€/l,
Ginebra Beefeater 70 cl.,15.15,21.64,bebidas,alcoholes,Bodega,€/l,
Natillas sustitutivas sabor chocolate en sobres Bimanán BeSlim 6 ud.,15.15,6.061,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,€/100g,
Gordons Premium Pink Ginebra,15.15,21.64,bebidas,alcoholes,Bodega,€/l,
Champú tratante alivia el picor elimina la caspa Kelual DS Ducray 100 ml.,15.15,15.151,parafarmacia,cabello,Cuidado del cabello,€/100ml,
Acondicionador anticaída Pilexil 200 ml.,15.15,7.571,parafarmacia,cabello,Cuidado del cabello,€/100ml,
Natillas sustitutivas sabor vainilla en sobres Bimanán BeSlim 6 ud.,15.15,5.831,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,€/100g,
Champú anticaspa cabello normal graso T/Gel Neutrogena pack de 2 unidades de 250 ml.,15.09,3.021,parafarmacia,cabello,Cuidado del cabello,€/100ml,
Gel para lavavajillas lima y limón Oro Somat pack de 2 unidades de 50 lavados.,15.09,0.15,limpieza y hogar,productos para cocina,Limpieza y hogar,€/lavado,
Detergente en polvo limpieza profunda Skip 75 lavados,15.09,0.2,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Preservativos Originales Natural Plus Durex 24 ud.,15.09,0.63,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,€/ud,
Leche infantil de crecimiento 3 desde 12 meses ecológica HiPP  brik  500 g.,15.09,30.18,bebe,alimentacion infantil,Bebé,€/kg,
Complemento alimenticio DeMemory 30 cápsulas,15.09,68.591,la despensa,alimentacion,"Salsas, pasta y refrescos",€/100g,
Ron Havana Club añejo 3 años 70 cl.,15.09,21.56,bebidas,alcoholes,Bodega,€/l,
Maquinillas desechable para hombre Blue II Gillette 30 ud.,15.09,0.5,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,€/ud,
Gel y champú para la higiene de la piel y cabellos delicados Pon-emo Colágeno 1000 ml.,15.09,1.511,parafarmacia,cuidado corporal,Cuidado facial y corporal,€/100ml,
Crema facial hidratante Sensitive Advanced FPS 50+ Garnier Delial 50 ml.,15.09,30.181,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Gel para lavavajillas antigrasa Oro Somat pack de 2 unidades de 50 lavados.,15.09,0.15,limpieza y hogar,productos para cocina,Limpieza y hogar,€/lavado,
Gel para lavavajillas frescor antiolor Oro Somat pack de 2 unidades de 50 lavados.,15.09,0.15,limpieza y hogar,productos para cocina,Limpieza y hogar,€/lavado,
Detergente líquido colores vivos limpia y revive Micolor 52 lavados.,15.09,0.29,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Vermut St. Petroni 75 cl.,15.09,20.12,bebidas,alcoholes,Bodega,€/l,
Detergente en cápsulas extra frescor Nenuco Colon 32 ud.,15.09,0.47,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Langostinos blancos crudos congelados Gambafresh 750 g.,15.09,20.12,congelados,mariscos congelados,Congelados,€/kg,
Jamón de Cebo Ibérico de Campo 50% Raza Ibérica Esencia Única Covap 120 g,15.09,125.75,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Apósitos ampollas medianas Compeed 10 ud.,15.09,1.51,parafarmacia,cuidado de manos y pies,Cuidado facial y corporal,€/ud,
Vermut St. Petroni blanco 75 cl.,15.09,20.12,bebidas,alcoholes,Bodega,€/l,
Aguardiente Antioqueño sin azúcar 1 l.,15.05,15.05,bebidas,licores y cremas,Bodega,€/l,
Aceite de oliva virgen extra hojiblanca Coosur 1 l.,14.99,14.99,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
"Pack Tresemmé liso keratina: Champú 685 ml, Acondicionador 685 ml y Mascarilla 440 ml.",14.99,14.99,perfumeria e higiene,cabello,Cuidado del cabello,€/ud,
Aceite de oliva virgen extra arbequina Coosur 1 l.,14.99,14.99,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Aceite de oliva virgen extra intenso Coosur 1 l.,14.99,14.99,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Aceite de oliva virgen extra Coosur 1 l.,14.99,14.99,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Insecticida Ultra Pol 750ml Compo,14.99,19.99,limpieza y hogar,bazar,bazar,€/l,
Filtro de Agua PHILIPS X-Guard,14.99,14.99,limpieza y hogar,menaje,Limpieza y hogar,€/ud,
Agua de colonia Classic Blue David Beckham 100 ml.,14.95,14.951,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
"Mochila elefante multiproductos para bebé Nenuco: agua de colonia 200 ml, champú 200 ml, jabón líquido 200 ml y leche hidratante 200 ml",14.95,14.95,bebe,perfumeria e higiene,Cuidado facial y corporal,€/ud,
Aceite de oliva virgen extra Koipe 1 l.,14.95,14.95,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
"Merluza de lonja 1,5 kg aprox",14.93,9.95,productos frescos,pescaderia,Marisco y pescado,€/kg,
Rabo de Vaca porcionado El Encinar de Humienta 1 kg aprox,14.9,14.9,productos frescos,carniceria,Carne,€/kg,
Gel puro de aloe vera Grisi 250 ml.,14.89,5.961,parafarmacia,cuidado corporal,Cuidado facial y corporal,€/100ml,
Leche protectora solar niños pieles sensibles atópicas SPF50+ Ecran Denenes 270 ml.,14.89,4.961,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Whisky Fireball 70 cl.,14.89,21.27,bebidas,alcoholes,Bodega,€/l,
Leche infantil para lactantes en polvo Nestlé Nidina 1 lata 800 g.,14.89,18.61,bebe,alimentacion infantil,Bebé,€/kg,
Licenciado Tinto Reserva 2018,14.89,14.89,bebidas,vinos,Bodega,€/ud,
"Café ristretto en cápsulas L'Or Espresso compatible con Nespresso 40 unidades de 5,2 g.",14.89,71.59,la despensa,desayuno,Cereales y galletas,€/kg,
"Café onyx en cápsulas L'Or Espresso compatible con Nespresso 40 unidades de 5,2 g.",14.89,71.59,la despensa,desayuno,Cereales y galletas,€/kg,
Lubricante con ingredientes 100% naturales Naturals H2O Durex 100 ml.,14.89,14.891,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,€/100ml,
Preservativos invisibles super finos para maximizar la sensibilidad Durex 12 ud.,14.89,1.24,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,€/ud,
"Café Colombia en cápsulas L'or Espresso compatible con Nespresso 40 unidades de 5,2 g.",14.89,71.59,la despensa,desayuno,Cereales y galletas,€/kg,
Fluido protector antimanchas SPF50+ Ecran Sunnique 50 ml.,14.89,29.781,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Licor de hierbas Ruavieja 1 l.,14.89,14.89,bebidas,licores y cremas,Bodega,€/l,
Pants de incontinencia absodys men Talla M Carrefour 14 ud.,14.89,1.06,perfumeria e higiene,higiene intima,Cuidado facial y corporal,€/ud,
Sérum tratamiento concentrado Antiarrugas Expert Nivea Q10 15 ml.,14.89,99.271,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
"Cacao soluble original Cola Cao 2,5 kg.",14.89,5.96,la despensa,desayuno,Cereales y galletas,€/kg,
Agua de colonia Don Algodón 200 ml.,14.89,7.441,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Complemento sueño forte en comprimidos Aquilea 30 ud.,14.89,49.631,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,€/100g,
Aceite de oliva virgen Carbonell 1 l.,14.89,14.89,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Aceite de oliva virgen extra variedad picual Dcoop 1 l.,14.89,14.89,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Ron Capitán Morgan spiced gold 70 cl.,14.89,21.27,bebidas,alcoholes,Bodega,€/l,
Aceite de oliva virgen extra hojiblanca Dcoop 1 l.,14.89,14.89,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Aceite de oliva virgen extra arbequina Dcoop 1 l.,14.89,14.89,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Detergente gel Total 4+1 Dixan 60 lavados.,14.89,0.25,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
"Queso curado Tierra de Tradición pieza 1,1 kg.",14.89,13.54,productos frescos,quesos,Charcutería y quesos,€/kg,
Ron añejo 3 años Viejo de Caldas 70 cl.,14.85,21.21,bebidas,alcoholes,Bodega,€/l,
