nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia,tercera_columna
Mini Medias Noches Carrefour 255 g,1.99,7.8,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
"Verduras para micro brócoli, zanahoria y coliflor Florette 275 g",1.99,7.24,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Guacamole picante Carrefour 200 g,1.99,9.95,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Salsa Mejicana Carrefour 200 g,1.99,9.95,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Compresas sin alas extraplana Clásica Ausonia 12 ud.,1.99,0.17,perfumeria e higiene,higiene intima,Cuidado facial y corporal,€/ud,
Caldo natural de verduras Gallo sin gluten y sin lactosa brik 1 l.,1.99,1.99,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/l,
Caldo natural de cocido Gallo sin gluten y sin lactosa brik 1 l.,1.99,1.99,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/l,
Caldo natural de pollo Gallo sin gluten y sin lactosa brik 1 l.,1.99,1.99,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/l,
Tomate frito Carrefour pack de 2 tarros de 550 g.,1.99,1.81,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Patata rústica cocida Carrefur 400 g,1.99,4.97,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Preparado para tortitas y crepes Carrefour 200 g.,1.99,9.95,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Protegeslip multiforma frescor perfume sintético Carrefour 30 ud.,1.99,0.07,perfumeria e higiene,higiene intima,Cuidado facial y corporal,€/ud,
Chocolate blanco relleno de barquillo y galleta Valor Huesitos 125 g.,1.99,15.92,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Protegeslip normal Ausonia 40 ud.,1.99,0.05,perfumeria e higiene,higiene intima,Cuidado facial y corporal,€/ud,
Tarrito de pera y plátano desde 4 meses ecológico Gerber sin gluten 125 g.,1.99,15.92,bebe,alimentacion infantil,Bebé,€/kg,
Preparado para rebozar crujiente crunchy crumbs Esgir sin gluten 200 g.,1.99,9.95,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Chocolate negro con avellanas enteras Carrefour Extra sin gluten 200 g.,1.99,9.95,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Cacahuete cáscara tostado salado Carrefour bolsa 250 g,1.99,7.96,la despensa,aperitivos,Aperitivos,€/kg,
Patatas cocida y pelada Huercasa 500 g,1.99,3.98,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Virutas Roedores Vitakraft 14 l,1.99,0.14,mascotas,conejos y roedores,Mascotas,€/l,
Manzanilla con miel en bolsitas Hornimans 25 ud.,1.99,56.86,la despensa,desayuno,Cereales y galletas,€/kg,
Manzanilla con anís en bolsitas Hornimans 25 ud.,1.99,56.86,la despensa,desayuno,Cereales y galletas,€/kg,
Cerveza Fonders Mosai lata 33 cl.,1.99,6.03,bebidas,cerveza,Bodega,€/l,
Té Classic en bolsitas Hornimans 25 ud.,1.99,45.23,la despensa,desayuno,Cereales y galletas,€/kg,
Fregasuelos concentrado multi superficies super perfumado multiusos aroma gold Disiclin 1000 ml.,1.99,1.99,limpieza y hogar,productos para toda la casa,Limpieza y hogar,€/l,
Papel higiénico 2 capas Simpl Choice 12 rollos,1.99,0.17,limpieza y hogar,papel y celulosa,Limpieza y hogar,€/ud,
Copos de arroz y trigo integral Stylesse Carrefour 500 g.,1.99,3.98,la despensa,desayuno,Cereales y galletas,€/kg,
Zumo de fruta y leche Don Simón Caribe pack de 6 briks de 20 cl.,1.99,1.66,bebidas,aguas y zumos,Zumos,€/l,
Snacks de queso para gatos Catisfactions 60 g.,1.99,33.17,mascotas,gatos,Mascotas,€/kg,
Zumo tropical Don Simon pack de 6 briks de 20 cl.,1.99,1.66,bebidas,aguas y zumos,Zumos,€/l,
Bebida de soja ligera Alpro sin gluten y sin lactosa brik 1 l.,1.99,1.99,la despensa,lacteos,leche y mantequilla,€/l,
Harina de garbanzo Carrefour sin gluten 500 g.,1.99,3.98,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Toallitas limpiagafas Bref 20 ud.,1.99,0.1,limpieza y hogar,papel y celulosa,Limpieza y hogar,€/ud,
Snacks de queso y salmón para gatos Catisfactions 60 g.,1.99,33.17,mascotas,gatos,Mascotas,€/kg,
Barrita  pistacho 25% proteína sin azúcar Emco sin gluten 35 g.,1.99,56.86,la despensa,desayuno,Cereales y galletas,€/kg,
Trampa detectora de polillas de los alimentos Carrefour 1 ud.,1.99,0.99,limpieza y hogar,productos para toda la casa,Limpieza y hogar,€/ud,
Queso emmental en lonchas Carrefour Classic' 200 g.,1.99,9.95,productos frescos,quesos,Charcutería y quesos,€/kg,
Galletas Dinosaurus Artiach 185 g.,1.99,10.76,la despensa,desayuno,Cereales y galletas,€/kg,
Manzanilla en bolsitas Hornimans 25 ud.,1.99,73.7,la despensa,desayuno,Cereales y galletas,€/kg,
Sal para lavavajillas Carrefour 5 kg.,1.99,0.4,limpieza y hogar,productos para cocina,Limpieza y hogar,€/kg,
Galletas de quinoa con canela y limón ecológicas Bio Darma sin lactosa 125 g.,1.99,15.92,la despensa,desayuno,Cereales y galletas,€/kg,
Contactceys Ceys 30ml,1.99,66.33,limpieza y hogar,bazar,bazar,€/l,
Vela perfumada vainilla Aromatium 18 ud.,1.99,0.11,limpieza y hogar,ambientadores,Limpieza y hogar,€/ud,
