Nombre,Precios,Precios_unidad,Subcategoria,Categorias,Unidad de referencia,Marca,Supermercado,Precio_Estatus
Sérum facial protector SPF50+ Ceramide Protect Invisible Super UV Delial 30 ml.,16.15,53.831,cuidado corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Crema de día antiedad intensiva FP15 Cellular Expert Filler Nivea 50 ml.,16.15,32.301,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Acondicionador a la quinina para cabello estresado y debilitado ecológico Klorane 200 ml.,16.15,8.071,cabello,Cuidado del cabello,100 ML,,Carrefour,outlier
Agua de colonia Zinnia 100 ml.,16.15,32.301,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Detergente en líquido limpio y liso Wipp Express 43 lavados.,16.09,0.37,cuidado de la ropa,Limpieza y hogar,LAVADO,,Carrefour,outlier
Pañales Carrefour Baby Ultra Dry Talla 4 (7-18 kg) 92 ud.,16.09,0.17,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
"Tabletas limpiadoras para prótesis dentales, férula dental y ortodoncia Acción Total Corega 66 ud.",16.09,0.24,higiene bucal,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Pañales Carrefour Baby Ultra Dry Talla 4 (8-16 kg) 92 ud.,16.09,0.17,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Detergente gel poder limpieza higiénica Advanced Colon 40 lavados.,16.09,0.4,cuidado de la ropa,Cuidado facial y corporal,LAVADO,,Carrefour,outlier
Acondicionador avena Klorane 200 ml.,16.09,8.041,cabello,Cuidado del cabello,100 ML,,Carrefour,outlier
Frangelico Avellana,16.09,22.99,licores y cremas,Cuidado facial y corporal,LITRO,FRANGELICO,Carrefour,outlier
Pomada hipoalergénica para proteger la zona del pañal Bephantol 100 g.,16.09,16.091,perfumeria e higiene,Cuidado facial y corporal,100 GR,,Carrefour,outlier
Ron añejo Brugal 70 cl.,16.09,22.99,alcoholes,Bodega,LITRO,BRUGAL,Carrefour,outlier
Café con leche en cápsulas Nescafé Dolce Gusto 64 ud.,15.99,24.98,desayuno,"Cacao, café e infusiones",KILO,NESCAFE,Carrefour,outlier
Mojama de Atún De Nuestra Tierra taco de 300 g,15.99,53.3,pescaderia,Marisco y pescado,KILO,NUESTRA TIERRA,Carrefour,outlier
Café espresso intenso en cápsulas Nescafé Dolce Gusto 64 ud.,15.99,35.69,desayuno,"Cacao, café e infusiones",KILO,NESCAFE,Carrefour,outlier
Leche solar muy alta protección SPF 50+ Mustela 100 ml.,15.9,15.901,perfumeria e higiene,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Crema antiestrías Suavinex 250 ml.,15.9,6.361,cuidado corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
VODKA IMPORTACION SMIRNOFF 1L,15.89,15.89,alcoholes,Bodega,LITRO,,Carrefour,outlier
Aceite de oliva virgen extra Maestros de Hojiblanca 1 l.,15.89,15.89,alimentacion,"Aceite, especias y salsas",LITRO,MAESTROS HOJIBLANCA,Carrefour,outlier
Aceite de oliva virgen extra Carbonell 1 l.,15.89,15.89,alimentacion,"Aceite, especias y salsas",LITRO,CARBONELL,Carrefour,outlier
Aceite de oliva virgen extra arbequina Carbonell 1 l.,15.89,15.89,alimentacion,"Aceite, especias y salsas",LITRO,,Carrefour,outlier
Aceite de oliva virgen extra picual Carbonell 1 l.,15.89,15.89,alimentacion,"Aceite, especias y salsas",LITRO,,Carrefour,outlier
Aceite de oliva virgen extra hojiblanca Carbonell 1 l.,15.89,15.89,alimentacion,"Aceite, especias y salsas",LITRO,,Carrefour,outlier
Ramon Bilbao Reserva 2016,15.89,15.89,vinos,Bodega,UNIDAD,RAMON BILBAO,Carrefour,outlier
Pañales Carrefour Baby Ultra Dry Talla 3 (4-9 kg) 104 ud.,15.89,0.16,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Aceite de oliva virgen extra picual ecológico Oro Bailén 500 ml.,15.89,31.78,alimentacion,"Aceite, especias y salsas",LITRO,ORO BAILEN,Carrefour,outlier
Pañales Carrefour Baby Ultra Dry Talla 3 (4-9 kg) 102 ud.,15.89,0.16,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Ginebra Tanqueray 70 cl.,15.89,22.7,alcoholes,Bodega,LITRO,TANQUERAY,Carrefour,outlier
Muslos de pato confitados Extra Carrefour 470 g.,15.85,33.72,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,CARREFOUR,Carrefour,outlier
Champú leche de avena Klorane 400 ml.,15.85,3.961,cabello,Cuidado del cabello,100 ML,,Carrefour,outlier
Complemento alimenticio en cápsulas De Memory Study 30 ud.,15.85,31.701,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Ginebra Larios Rosé premium 70 cl.,15.85,0.0,alcoholes,Bodega,No especificado,RIO,Carrefour,outlier
Champú al lino para cabello fino y falto de volumen ecológico Klorane 400 ml.,15.85,3.961,cabello,Cuidado del cabello,100 ML,,Carrefour,outlier
Potenciador de lavado quitamanchas para ropa blanca en gel sin lejía Oxi Advanced Vanish 1500 ml.,15.85,10.57,cuidado de la ropa,Cuidado facial y corporal,LITRO,,Carrefour,outlier
Beefeater Light Ginebra,15.85,22.64,alcoholes,Bodega,LITRO,,Carrefour,outlier
"Mochila rana multiproductos para bebé Nenuco: agua de colonia 200 ml, champú 200 ml, jabón líquido 200 ml y leche hidratante 200 ml",15.85,15.85,bebe,Bebé,UNIDAD,,Carrefour,outlier
Champú a la centaurea para cabello blanco o gris un brillo plateado ecológico Klorane 400 ml.,15.85,3.961,cabello,Cuidado del cabello,100 ML,,Carrefour,outlier
Gel control imperfecciones CeraVe 40 ml.,15.79,39.471,cuidado e higiene facial,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Loción hidratante Cerave 473 ml.,15.79,3.341,cuidado corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Gamba pelada salvaje cruda congelada 53/88 piezas Grand Krust 600 g.,15.79,26.32,mariscos congelados,Cuidado facial y corporal,KILO,GRAND KRUST,Carrefour,outlier
Licor de café Tia Maria 70 cl.,15.78,22.54,licores y cremas,"Cacao, café e infusiones",LITRO,REA,Carrefour,outlier
Crema protector solar niños FP50+ Protege & Cuida Kids Nivea Sun 200 ml.,15.75,7.871,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Spray protector solar FP30 Protege & Hidrata Nivea Sun 270 ml.,15.75,5.831,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Pañales Dodot Pro Sensitive T1 (2-5 kg.) 38 ud.,15.65,0.41,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Viña Pomal Tinto Reserva 2017,15.65,15.65,vinos,Bodega,UNIDAD,POMAL EMB,Carrefour,outlier
Pants Pull-Ups niña Huggies T6 (15-23 kg) 28 ud.,15.59,0.56,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Spray protector solar FP20 Protege & Hidrata Nivea Sun 270 ml.,15.59,5.771,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Colutorio par el mal aliento Halita 500 ml.,15.59,3.121,higiene bucal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Spray protector solar niños FP50+ Protege & Cuida Kids Nivea Sun 270 ml.,15.59,5.771,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Enjuague bucal especial encías Gingikin 1 l.,15.55,1.561,boca y sonrisa,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Leche protectora solar SPF50+ Sensitive Advanced Garnier Delial 175 ml.,15.55,8.891,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Spray solar sport bruma protectora SPF 50 Ecran Sunnique 250 ml.,15.55,6.221,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Salchichón ibérico de bellota Esencia Única 600 g,15.55,25.92,charcuteria,"Aceite, especias y salsas",KILO,,Carrefour,outlier
Vodka Eristoff 1 l.,15.55,15.55,alcoholes,Bodega,LITRO,ERISTOFF,Carrefour,outlier
Pierna de cordero lechal El Mercado 650 g aprox,15.53,23.9,carniceria,Carne,KILO,,Carrefour,outlier
Aceite de oliva virgen extra ecológico Coosur 1 l.,15.49,15.49,alimentacion,"Aceite, especias y salsas",LITRO,COOSUR,Carrefour,outlier
Crema protectora facial con ácido hialurónico SPF50 anti-edad Super UV Garnier Delial 50 ml.,15.49,30.981,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Whisky Johnnie Walker Red Label escocés 70 cl,15.49,22.13,alcoholes,Bodega,LITRO,JOHNNIE WALKER,Carrefour,outlier
Fluido ultraligero hidratante facial UV FP50+ Triple Protección Nivea Sun 40 ml.,15.49,38.721,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Ron Barceló añejo 70 cl.,15.45,22.07,alcoholes,Bodega,LITRO,BARCELO,Carrefour,outlier
