Nombre,Categoria1,Categoria2,UM,Precio Unitario,Precio,categoria_principal,Marca
Azúcar blanco Dia paquete 1 Kg,"Azúcar, chocolates y caramelos",Azúcar y edulcorantes,KILO,1.45,1.45,"Azúcar, caramelos y chocolate",Dia
Caramelos con palo varios sabores Chupa Chups bolsa 208 g,"Azúcar, chocolates y caramelos","Caramelos, chicles y golosinas",KILO,15.38,3.2,"Azúcar, caramelos y chocolate",Chupa Chups
Mermelada de fresa extra Helios frasco 340 g,"Azúcar, chocolates y caramelos",Mermeladas y frutas en almibar,KILO,5.88,2.0,"Azúcar, caramelos y chocolate",otra
Pan de molde formato familiar El molino de Dia bolsa 820 g,"Panes, harinas y masas","Pan de molde, perritos y hamburguesas.",KILO,1.52,1.25,Panaderia y pasteleria,Dia
Huevos de chocolate con sorpresa 3 unidades Kinder caja 60 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,58.17,3.49,"Azúcar, caramelos y chocolate",Kinder
Agua mineral con gas Dia botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.27,0.41,Agua y refrescos,Dia
Preparado para tarta de oreo Royal caja 215 g,"Panes, harinas y masas",Preparados para postres,KILO,18.56,3.99,Panaderia y pasteleria,otra
Bizcocho casero Royal caja 375 g,"Panes, harinas y masas",Preparados para postres,KILO,8.51,3.19,Panaderia y pasteleria,otra
Agua mineral natural Font Vella botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.49,0.73,Agua y refrescos,otra
Bífidus desnatado con ciruelas Activia vaso 480 g,Yogures y postres,Yogures bífidus y colesterol,KILO,6.23,2.99,Postres y yogures,otra
Agua mineral natural Cabreiroá botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.53,0.79,Agua y refrescos,otra
Bífidus desnatado con kiwi Activia pack 4 x 120 g,Yogures y postres,Yogures bífidus y colesterol,KILO,6.23,2.99,Postres y yogures,otra
Agua mineral con gas Vichy botella 1 l,"Agua, refrescos y zumos",Agua,LITRO,1.49,1.49,Agua y refrescos,otra
Barra de pan peregrina El molino de Dia bolsa 250 g,"Panes, harinas y masas",Pan recien horneado,KILO,2.88,0.72,Panaderia y pasteleria,Dia
Cremoso con fibra y cereales Bífidus Dia pack 4 x 125 g,Yogures y postres,Yogures bífidus y colesterol,KILO,2.58,1.29,Postres y yogures,Dia
Agua mineral natural Font Vella botella 2 l,"Agua, refrescos y zumos",Agua,LITRO,0.49,0.97,Agua y refrescos,otra
Bebida láctea de fresa Danacol pack 6 x 100 g,Yogures y postres,Yogures bífidus y colesterol,KILO,7.48,4.49,Postres y yogures,Danacol
Preparado para flan contiene caramelo líquido Royal caja 232.5 g,"Panes, harinas y masas",Preparados para postres,KILO,9.68,2.25,Panaderia y pasteleria,otra
Agua mineral natural Solán de Cabras garrafa 5 l,"Agua, refrescos y zumos",Agua,LITRO,0.54,2.69,Agua y refrescos,otra
Fideos de colores para decorar Dulcinea bolsa 150 g,"Panes, harinas y masas",Preparados para postres,KILO,11.0,1.65,Panaderia y pasteleria,otra
Fideos de chocolate para decorar Dulcinea bolsa 150 g,"Panes, harinas y masas",Preparados para postres,KILO,11.0,1.65,Panaderia y pasteleria,otra
Picatostes fritos El molino de Dia bolsa 75 g,"Panes, harinas y masas",Picos y panes tostados,KILO,10.53,0.79,Panaderia y pasteleria,Dia
Bífidus sabor mango y papaya con soja Activia pack 4 x 120 g,Yogures y postres,Yogures bífidus y colesterol,KILO,6.23,2.99,Postres y yogures,otra
Picos integrales El molino de Dia bolsa 250 g,"Panes, harinas y masas",Picos y panes tostados,KILO,2.6,0.65,Panaderia y pasteleria,Dia
Bífidus natural Activia pack 4 x 120 g,Yogures y postres,Yogures bífidus y colesterol,KILO,5.6,2.69,Postres y yogures,otra
Barra de pan integral 100% El molino de Dia bolsa 220 g,"Panes, harinas y masas",Pan recien horneado,KILO,2.68,0.59,Panaderia y pasteleria,Dia
