Nombre,Precio,Precio_unit,Categoria,Subcategoria,categoria_principal,Unidad_medida,Marca
"Vino frizzante moscato rosado 5,5º Condominium botella 75 cl",2.99,3.99,Vino rosado,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vino rosado D.O. Rioja El coto botella 75 cl,4.15,5.53,Vino rosado,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vino rosado Viñas del Vero botella 75 cl,6.1,8.13,Vino rosado,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vino rosado lambrusco Flaminia botella 75 cl,2.99,3.99,Vino rosado,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vino rosado D.O. Navarra Viña Ardanche botella 75 cl,2.1,2.8,Vino rosado,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vino rosado D.O. Rioja Señorío de Ondas botella 75 cl,2.59,3.45,Vino rosado,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vino rosado D.O. Navarra Gran feudo botella 75 cl,4.79,6.39,Vino rosado,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vodka Smirnoff botella 70 cl,11.29,16.13,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Ginebra london dry Beefeater botella 70 cl,13.95,19.93,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Ginebra Barmon's botella 70 cl,5.99,8.56,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vodka Eristoff botella 70 cl,11.29,16.13,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
"Bebida sin alcohol 0,0 Beefeater botella 70 cl",13.95,19.93,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
"Bebida sin alcohol Seagram's 0,0 botella 1 l",12.39,12.39,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Pink vodka Eristoff botella 70 cl,8.99,12.84,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Ginebra Narisara botella 70 cl,8.99,12.84,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
"Bebida espirituosa sin alcohol 0,0 Tanqueray botella 70 cl",15.99,22.84,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Ginebra cítrica Barmon's botella 70 cl,8.49,12.13,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vodka cinco destilaciones Mikanoff botella 1 l,6.7,6.7,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Ginebra sabor fresa Barmon's botella 70 cl,7.65,10.93,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Ginebra sabor fresa Larios Rosé botella 70 cl,16.55,23.64,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,Larios
Ginebra sabor fresa Puerto de Indias botella 70 cl,15.95,22.79,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Ginebra Seagram's botella 70 cl,16.45,23.5,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Ginebra Larios botella 1 l,12.99,12.99,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,Larios
Vodka Finlandia botella 70 cl,14.99,21.41,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vodka Moskovskaya botella 70 cl,10.35,14.79,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vodka con sabor a caramelo Mikanoff botella 70 cl,5.69,8.13,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Ginebra premium Larios 12 botella 70 cl,16.55,23.64,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,Larios
Ginebra London dry Tanqueray botella 70 cl,15.99,22.84,Ginebra y vodka,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Brandy de Jerez Soberano botella 70 cl,7.99,11.41,Brandy,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Brandy de Jerez solera gran reserva Alma de magno botella 70 cl,16.79,23.99,Brandy,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Brandy de Jerez solera Gladiador botella 70 cl,6.79,9.7,Brandy,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Brandy de Jerez solera reserva Magno botella 70 cl,11.99,17.13,Brandy,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Bebida espirituosa tipo brandy Gladiador botella 1 l,5.99,5.99,Brandy,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Brandy Centenario botella 1 l,9.49,9.49,Brandy,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Brandy Veterano botella 1 l,9.35,9.35,Brandy,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Brandy 5 solera reserva Torres botella 70 cl,10.5,15.0,Brandy,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vermouth bianco Martini botella 1 l,10.69,10.69,Vermouth,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vermouth rosso Martini botella 1 l,10.69,10.69,Vermouth,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vermouth reserva Topaz botella 75 cl,2.7,3.6,Vermouth,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vermouth El bandarra botella 1 l,8.95,8.95,Vermouth,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vermouth rojo tempranillo 61 botella 75 cl,6.99,9.32,Vermouth,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vermouth blanco verdejo 61 botella 75 cl,8.99,11.99,Vermouth,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vermouth blanco sin alcohol Martini botella 75 cl,7.99,10.65,Vermouth,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vermouth rojo sin alcohol Martini botella 75 cl,7.99,10.65,Vermouth,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vermut rojo Zarro botella 1 l,5.79,5.79,Vermouth,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Aperitivo Aperol botella 70 cl,13.39,19.13,Vermouth,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vermouth rosso Campari 0.7 l,15.2,21.71,Vermouth,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vermouth rojo Yzaguirre botella 1 l,8.15,8.15,Vermouth,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vermouth rosso Alvini botella 1 l,2.69,2.69,Vermouth,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vermouth blanco Alvini botella 1 l,2.69,2.69,Vermouth,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Vermouth rosso Cinzano botella 1 l,7.95,7.95,Vermouth,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Ron añejo Cacique botella 70 cl,14.49,20.7,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Whisky Ballantines botella 70 cl,12.95,18.5,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Whisky William Lawson's botella 70 cl,10.99,15.7,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Ron añejo Negrita botella 50 cl,6.99,13.98,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Whisky japanese smooth Dewars botella 70 cl,12.69,18.13,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Whisky Seagram's botella 70 cl,15.39,21.99,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Ron añejo Velero botella 70 cl,5.95,8.5,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Whisky 5 años Douregal botella 70 cl,8.99,12.84,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Whisky Dyc botella 1 l,15.25,15.25,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Whisky Fireball botella 70 cl,14.49,20.7,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Mojito Caribica botella 70 cl,4.99,7.13,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Ron dominicano viejo Velero botella 70 cl,8.69,12.41,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Whisky escocés 3 años Douregal botella 70 cl,6.0,8.57,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Whisky americano Wordens botella 70 cl,9.99,14.27,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Ron blanco Velero botella 70 cl,5.25,7.5,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Whisky Burned barrel botella 70 cl,5.99,8.56,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Ron añejo Santa Teresa botella 70 cl,16.39,23.41,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Whisky Passport botella 70 cl,11.99,17.13,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Ron blanco superior Bacardi botella 70 cl,13.99,19.99,Ron y whisky,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de hierbas Ruavieja botella 70 cl,10.29,14.7,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de piruleta Riska botella 70 cl,5.99,8.56,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Crema de fresa con tequila Sargento Tequela botella 70 cl,9.3,13.29,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de crema whisky Castle loan botella 70 cl,6.0,8.57,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de crema whisky light Baileys botella 70 cl,15.49,22.13,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de crema de cacao La castellana botella 70 cl,10.99,15.7,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Pacharán Gorzalka botella 1 l,7.5,7.5,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de ginebra 1902 botella 70 cl,7.99,11.41,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de manzana sin alcohol Soñador botella 70 cl,2.49,3.56,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de mora sin alcohol Soñador botella 70 cl,2.49,3.56,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de limoncello 25º Alvini botella 50 cl,4.89,9.78,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de anís dulce Chinchon botella 1 l,11.99,11.99,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Crema de limoncello 16º Alvini botella 50 cl,4.99,9.98,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de café 30º Mourama botella 70 cl,6.49,9.27,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de crema de orujo 17º Mourama botella 70 cl,6.49,9.27,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de hierbas 30º Mourama botella 70 cl,5.99,8.56,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Pacharán Zoco botella 70 cl,9.1,13.0,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de anís dulce La castellana botella 70 cl,9.25,13.21,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de hierbas Jägermeister botella 70 cl,13.65,19.5,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de anís dulce La estepa botella 1 l,7.2,7.2,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Licor de crema de orujo Ruavieja botella 70 cl,13.19,18.84,Cremas y licores,"Cervezas, vinos y bebidas con alcohol",Bodega,LITRO,otra
Helado sabor stracciatella Temptation de Dia tarrina 525 g,2.79,5.31,Helados y hielo,Congelados,Congelados,KILO,Dia
Helado cono de nata y chocolate 4 unidades Temptation de Dia caja 272 g,1.79,6.58,Helados y hielo,Congelados,Congelados,KILO,Dia
Helado cono de nata 4 unidades Temptation de Dia caja 272 g,1.79,6.58,Helados y hielo,Congelados,Congelados,KILO,Dia
Helado de nata con gotas de chocolate 4 unidades Nestlé Maxibon caja 384 g,5.99,15.6,Helados y hielo,Congelados,Congelados,KILO,otra
Helado mini de nata con gotas de chocolate 6 unidades Nestlé Maxibon caja 306 g,5.99,18.49,Helados y hielo,Congelados,Congelados,KILO,otra
Tarta helada sabor whisky Temptation de Dia caja 525 g,2.69,5.12,Helados y hielo,Congelados,Congelados,KILO,Dia
Helado bombón de caramelo salado 8 unidades Haagen Dazs Bites caja 96 g,6.49,67.6,Helados y hielo,Congelados,Congelados,KILO,otra
Helado bombón triple experience con frambuesa Ferrero Rafaello caja 138 g,4.59,33.26,Helados y hielo,Congelados,Congelados,KILO,otra
Helado mini bombón de limón y sorbete de frambuesa 6 unidades Magnum Euphoria caja 258 g,5.49,21.28,Helados y hielo,Congelados,Congelados,KILO,otra
Helado mini cono mix 10 unidades Cornetto caja 190 g,4.99,26.26,Helados y hielo,Congelados,Congelados,KILO,otra
Helado bombón pistacho 3 unidades Magnum caja 231 g,4.69,20.3,Helados y hielo,Congelados,Congelados,KILO,otra
Helado bombón after dinner classic 8 unidades Magnum caja 232 g,4.99,21.51,Helados y hielo,Congelados,Congelados,KILO,otra
Helado bombón cásico 3 unidades Magnum caja 237 g,2.99,12.62,Helados y hielo,Congelados,Congelados,KILO,otra
Helado bombón after dinner frac 8 unidades Magnum caja 232 g,4.99,21.51,Helados y hielo,Congelados,Congelados,KILO,otra
Helado bombón de limón con sorbete de frambuesa 3 unidades Magnum Euphoria caja 210 g,4.69,22.33,Helados y hielo,Congelados,Congelados,KILO,otra
Helado bombón de galleta de vainilla con arándanos y cookies 3 unidades Magnum Chill caja 210 g,4.69,22.33,Helados y hielo,Congelados,Congelados,KILO,otra
Helado bombón mini doble chocolate y caramelo salado Temptation de Dia estuche 216 g,1.99,9.21,Helados y hielo,Congelados,Congelados,KILO,Dia
Helado de chocolate con tiramisú y licor de crema  Temptation de Dia tarrina 350 g,3.19,9.11,Helados y hielo,Congelados,Congelados,KILO,Dia
Helado cono de galleta y chocolate 4 unidades Temptation de Dia caja 260 g,2.39,9.19,Helados y hielo,Congelados,Congelados,KILO,Dia
Helado de chocolate con cacahuetes conguitos Temptation de Dia tarrina 350 g,3.49,9.97,Helados y hielo,Congelados,Congelados,KILO,Dia
Helado macarrón de chocolate 4 unidades  Temptation de Dia estuche 168 g,4.99,29.7,Helados y hielo,Congelados,Congelados,KILO,Dia
Mini tarta laminada de nata y chocolate Temptation de Dia estuche 280 g,2.29,8.18,Helados y hielo,Congelados,Congelados,KILO,Dia
Helado sandwich yogur y frutos rojos 6 unidades Temptation de Dia estuche 342 g,2.79,8.16,Helados y hielo,Congelados,Congelados,KILO,Dia
Helado bombón chocolate blanco con yogur y frambuesa 3 unidades Temptation de Dia estuche 276 g,2.39,8.66,Helados y hielo,Congelados,Congelados,KILO,Dia
Pizza campestre Al Punto Dia caja 400 g,2.49,6.23,"Pizzas, bases y masas",Congelados,Congelados,KILO,Dia
Pizza 6 quesos Al Punto Dia caja 470 g,3.99,8.49,"Pizzas, bases y masas",Congelados,Congelados,KILO,Dia
Pizza carbonara Al Punto Dia caja 465 g,3.99,8.58,"Pizzas, bases y masas",Congelados,Congelados,KILO,Dia
Pizza crispy bacon Al Punto Dia caja 450 g,3.99,8.87,"Pizzas, bases y masas",Congelados,Congelados,KILO,Dia
Pannini barbacoa Dr. Oetker caja 250 g,3.39,13.56,"Pizzas, bases y masas",Congelados,Congelados,KILO,otra
Pizza barbacoa Al Punto Dia caja 350 g,2.49,7.11,"Pizzas, bases y masas",Congelados,Congelados,KILO,Dia
Pizza spinaci Dr. Oetker Ristorante caja 390 g,3.89,9.97,"Pizzas, bases y masas",Congelados,Congelados,KILO,otra
Bases de pizza finas 3 unidades Al Punto Dia bolsa 420 g,1.9,4.52,"Pizzas, bases y masas",Congelados,Congelados,KILO,Dia
Pizza prosciutto Dr. Oetker Ristorante caja 340 g,3.89,11.44,"Pizzas, bases y masas",Congelados,Congelados,KILO,otra
Pizza barbacoa Buitoni Forno di pietra caja 325 g,3.65,11.23,"Pizzas, bases y masas",Congelados,Congelados,KILO,otra
Baguette jamón y queso 2 unidades Al Punto Dia caja 250 g,1.89,7.56,"Pizzas, bases y masas",Congelados,Congelados,KILO,Dia
Pizza 4 quesos Buitoni Forno di pietra caja 340 g,3.65,10.74,"Pizzas, bases y masas",Congelados,Congelados,KILO,otra
Pizza 4 quesos Dr. Oetker Ristorante caja 340 g,3.89,11.44,"Pizzas, bases y masas",Congelados,Congelados,KILO,otra
Pizza caprese Buitoni Forno di pietra caja 350 g,3.65,10.43,"Pizzas, bases y masas",Congelados,Congelados,KILO,otra
Pizza jamón y queso Al Punto Dia caja 350 g,2.49,7.11,"Pizzas, bases y masas",Congelados,Congelados,KILO,Dia
Pizza atún Dr. Oetker Ristorante caja 355 g,3.89,10.96,"Pizzas, bases y masas",Congelados,Congelados,KILO,otra
Pizza jamón y queso Buitoni Forno di pietra caja 350 g,3.65,10.43,"Pizzas, bases y masas",Congelados,Congelados,KILO,otra
Langostino cocido grande 32/48 piezas Mari Marinera de Dia caja 800 g,7.99,9.99,Pescado y marisco,Congelados,Congelados,KILO,Dia
Filetes de bacalao MSC Mari Marinera de Dia bandeja 360 g,4.99,13.86,Pescado y marisco,Congelados,Congelados,KILO,Dia
Rabas empanadas Mari Marinera de Dia bolsa 400 g,2.89,7.23,Pescado y marisco,Congelados,Congelados,KILO,Dia
Caprichos del mar Mari Marinera de Dia bolsa 400 g,1.79,4.48,Pescado y marisco,Congelados,Congelados,KILO,Dia
Palitos de surimi ultracongelados MSC Mari Marinera de Dia bolsa 450 g,1.79,3.98,Pescado y marisco,Congelados,Congelados,KILO,Dia
Coquina del Mediterráneo Aligator bolsa 250 g,3.69,14.76,Pescado y marisco,Congelados,Congelados,KILO,otra
Filete de bacalao 100% natural Mari Marinera de Dia bolsa 300 g,4.99,16.63,Pescado y marisco,Congelados,Congelados,KILO,Dia
Calamar entero limpio patagónico Mari Marinera de Dia bandeja 400 g,5.59,13.98,Pescado y marisco,Congelados,Congelados,KILO,Dia
Filetes de abadejo MSC Mari Marinera de Dia bolsa 500 g,4.99,9.98,Pescado y marisco,Congelados,Congelados,KILO,Dia
Varitas de merluza MSC Mari Marinera de Dia caja 450 g,3.49,7.76,Pescado y marisco,Congelados,Congelados,KILO,Dia
Filete de dorada Mari Marinera de Dia bolsa 180 g,3.99,22.17,Pescado y marisco,Congelados,Congelados,KILO,Dia
Filete de lubina Mari Marinera de Dia bolsa 180 g,3.99,22.17,Pescado y marisco,Congelados,Congelados,KILO,Dia
"Preparado para fideuá, pastas y arroces Cocinarte bolsa 450 g",3.29,7.31,Pescado y marisco,Congelados,Congelados,KILO,otra
Langostinos cocidos pelados Pescanova bandeja 180 g,4.29,23.83,Pescado y marisco,Congelados,Congelados,KILO,otra
Filete de merluza empanada Mari Marinera de Dia bolsa 600 g,4.95,8.25,Pescado y marisco,Congelados,Congelados,KILO,Dia
Sepia faraónica Mari Marinera de Dia bolsa 400 g,4.99,12.48,Pescado y marisco,Congelados,Congelados,KILO,Dia
Colas de gamba rebozadas Cocinarte bolsa 200 g,2.59,12.95,Pescado y marisco,Congelados,Congelados,KILO,otra
Tortillitas de camarón Terranova bolsa 400 g,3.69,9.23,Pescado y marisco,Congelados,Congelados,KILO,otra
Varitas de pescado MSC Findus caja 280 g,2.99,10.68,Pescado y marisco,Congelados,Congelados,KILO,otra
Nuggets de merluza Pescanova bolsa 300 g,2.19,7.3,Pescado y marisco,Congelados,Congelados,KILO,otra
Filetes de atún MSC Mari Marinera de Dia bandeja 250 g,4.19,16.76,Pescado y marisco,Congelados,Congelados,KILO,Dia
Calamar troceado Mari Marinera de Dia bolsa 450 g,4.49,9.98,Pescado y marisco,Congelados,Congelados,KILO,Dia
San jacobo Al Punto Dia bolsa 320 g,1.14,3.56,Carne y pollo,Congelados,Congelados,KILO,Dia
Kebab loncheado de pollo Gourmet Kebab bolsa 250 g,3.49,13.96,Carne y pollo,Congelados,Congelados,KILO,otra
Fingers de pollo Al Punto Dia bolsa 400 g,3.19,7.98,Carne y pollo,Congelados,Congelados,KILO,Dia
Nuggets de pollo y queso Al Punto Dia bolsa 400 g,3.19,7.98,Carne y pollo,Congelados,Congelados,KILO,Dia
Nuggets de pollo Al Punto Dia bolsa 400 g,2.99,7.48,Carne y pollo,Congelados,Congelados,KILO,Dia
Crunchy de pollo con salsa barbacoa Fripozo bolsa 300 g,2.49,8.3,Carne y pollo,Congelados,Congelados,KILO,otra
Relleno para fajitas de pollo y verduras asadas Old El Paso bolsa 300 g,3.49,11.63,Carne y pollo,Congelados,Congelados,KILO,otra
Finger de pollo La cocinera caja 320 g,4.99,15.59,Carne y pollo,Congelados,Congelados,KILO,otra
Croquetas de jamón ibérico Al Punto Dia bolsa 350 g,2.49,7.11,Croquetas y rebozados,Congelados,Congelados,KILO,Dia
Tequeños de queso Amaizin caja 190 g,2.99,15.74,Croquetas y rebozados,Congelados,Congelados,KILO,otra
Palitos de mozzarella  Al Punto Dia bolsa 300 g,2.59,8.63,Croquetas y rebozados,Congelados,Congelados,KILO,Dia
Gyozas de pollo Vici bolsa 400 g,3.99,9.98,Croquetas y rebozados,Congelados,Congelados,KILO,otra
Croquetas de cocido Al Punto Dia bolsa 350 g,1.89,5.4,Croquetas y rebozados,Congelados,Congelados,KILO,Dia
Croquetas de pollo Al Punto Dia bolsa 450 g,1.49,3.31,Croquetas y rebozados,Congelados,Congelados,KILO,Dia
Empanadillas de atún Al Punto Dia bolsa 500 g,1.89,3.78,Croquetas y rebozados,Congelados,Congelados,KILO,Dia
Mini empanadillas de atún Al Punto Dia bolsa 400 g,1.49,3.73,Croquetas y rebozados,Congelados,Congelados,KILO,Dia
Croquetas artesanas de jamón ibérico La cocinera bolsa 400 g,4.99,12.48,Croquetas y rebozados,Congelados,Congelados,KILO,otra
Fresas congeladas La cuerva bolsa 300 g,1.65,5.5,Churros y postres,Congelados,Congelados,KILO,otra
Porras fritas Al Punto Dia bolsa 250 g,1.98,7.92,Churros y postres,Congelados,Congelados,KILO,Dia
Churros lazo Al Punto Dia bolsa 500 g,1.49,2.98,Churros y postres,Congelados,Congelados,KILO,Dia
Frutos rojos Congelados de Navarra bolsa 300 g,1.59,5.3,Churros y postres,Congelados,Congelados,KILO,otra
Brazo de chocolate Sietem bandeja 500 g,6.99,13.98,Churros y postres,Congelados,Congelados,KILO,otra
Tarta de zanahoria San Martín bandeja 770 g,10.59,13.75,Churros y postres,Congelados,Congelados,KILO,otra
Tarta bombón infantil niño San Martín bandeja 500 g,6.25,12.5,Churros y postres,Congelados,Congelados,KILO,otra
Tarta de queso con frambuesas Philadelphia caja 390 g,7.35,18.85,Churros y postres,Congelados,Congelados,KILO,otra
Tarta bombón San Martín bandeja 1 Kg,10.95,10.95,Churros y postres,Congelados,Congelados,KILO,otra
Tarta de queso con galletas oreo Oreo caja 350 g,7.49,21.4,Churros y postres,Congelados,Congelados,KILO,Oreo
Lasaña de verdura Al Punto Dia bolsa 300 g,1.63,5.43,Lasañas y pasta,Congelados,Congelados,KILO,Dia
Canelón de atún Al Punto Dia caja 300 g,1.63,5.43,Lasañas y pasta,Congelados,Congelados,KILO,Dia
Canelón de carne Al Punto Dia bolsa 300 g,1.63,5.43,Lasañas y pasta,Congelados,Congelados,KILO,Dia
Lasaña boloñesa Al Punto Dia caja 300 g,1.63,5.43,Lasañas y pasta,Congelados,Congelados,KILO,Dia
Lasaña boloñesa La cocinera caja 500 g,4.99,9.98,Lasañas y pasta,Congelados,Congelados,KILO,otra
Papilla de arroz sin gluten Nestlé caja 180 g,2.59,14.39,Papilla,Bebé,Bebé,KILO,otra
Papilla de cereales con miel Nestlé caja 725 g,5.45,7.52,Papilla,Bebé,Bebé,KILO,otra
Papilla de cereales con miel Nestlé caja 475 g,3.95,8.32,Papilla,Bebé,Bebé,KILO,otra
Papilla de cereales y galleta Nestlé caja 475 g,3.95,8.32,Papilla,Bebé,Bebé,KILO,otra
Papilla de 8 cereales Nestlé caja 475 g,3.95,8.32,Papilla,Bebé,Bebé,KILO,otra
Papilla crema de arroz sin azúcares añadidos Hero caja 220 g,2.95,13.41,Papilla,Bebé,Bebé,KILO,otra
Papilla 8 cereales sin azúcares añadidos Hero Baby caja 410 g,3.9,9.51,Papilla,Bebé,Bebé,KILO,otra
Peque galletas junior Nestlé bolsa 180 g,3.59,19.94,Papilla,Bebé,Bebé,KILO,otra
Leche crecimiento con cereales +12 meses Nativa brik 1 l,2.35,2.35,Leche infantil,Bebé,Bebé,LITRO,otra
Leche infantil 2 classic Hero Baby Nutrasense bote 800 g,11.95,14.94,Leche infantil,Bebé,Bebé,KILO,otra
Leche de continuación Nativa brik 1 l,2.39,2.39,Leche infantil,Bebé,Bebé,LITRO,otra
Leche infantil crecimiento con cereales Nestlé brik 1 l,2.35,2.35,Leche infantil,Bebé,Bebé,LITRO,otra
Leche infantil crecimiento con galleta maria Nativa brik 1 l,2.35,2.35,Leche infantil,Bebé,Bebé,LITRO,otra
Leche crecimiento con galleta maría +3 años Nestlé brik 1 l,2.35,2.35,Leche infantil,Bebé,Bebé,LITRO,otra
Leche crecimiento original +12 meses Nativa brik 1 l,2.35,2.35,Leche infantil,Bebé,Bebé,LITRO,otra
Bebida con cereales y cacao pack Puleva brik 3 x 200 ml,1.95,3.25,Leche infantil,Bebé,Bebé,LITRO,otra
Leche infantil 1 inicio premium Nidina lata 800 g,14.95,18.69,Leche infantil,Bebé,Bebé,KILO,otra
Leche infantil 1 inicio Nativa lata 800 g,11.9,14.88,Leche infantil,Bebé,Bebé,KILO,otra
Leche multifrutas Puleva brik 3 x 200 ml,1.95,3.25,Leche infantil,Bebé,Bebé,LITRO,otra
Leche infantil 2 continuación Nativa lata 800 g,11.9,14.88,Leche infantil,Bebé,Bebé,KILO,otra
Leche infantil crecimiento con cereales Puleva brik 1 l,1.95,1.95,Leche infantil,Bebé,Bebé,LITRO,otra
Stick de fruta Disney bolsa 20 g,0.79,39.5,"Yogures, bolsitas de frutas y snacks",Bebé,Bebé,KILO,otra
Yogur con fresa y plátano  Planeta Bebé de Dia bolsa 100 g,0.75,7.5,"Yogures, bolsitas de frutas y snacks",Bebé,Bebé,KILO,Dia
