Nombre,Precio,Precio_unit,Categoria,Subcategoria,categoria_principal,Unidad_medida,Marca
Acondicionador a la quinina para cabello estresado y debilitado ecológico Klorane 200 ml.,16.15,8.071,parafarmacia,cabello,Cuidado del cabello,100 ML,
Agua de colonia Zinnia 100 ml.,16.15,32.301,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Detergente en líquido limpio y liso Wipp Express 43 lavados.,16.09,0.37,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO,
Pañales Carrefour Baby Ultra Dry Talla 4 (7-18 kg) 92 ud.,16.09,0.17,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD,
"Tabletas limpiadoras para prótesis dentales, férula dental y ortodoncia Acción Total Corega 66 ud.",16.09,0.24,parafarmacia,higiene bucal,Cuidado facial y corporal,UNIDAD,
Pañales Carrefour Baby Ultra Dry Talla 4 (8-16 kg) 92 ud.,16.09,0.17,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD,
Detergente gel poder limpieza higiénica Advanced Colon 40 lavados.,16.09,0.4,limpieza y hogar,cuidado de la ropa,Cuidado facial y corporal,LAVADO,
Acondicionador avena Klorane 200 ml.,16.09,8.041,parafarmacia,cabello,Cuidado del cabello,100 ML,
Frangelico Avellana,16.09,22.99,bebidas,licores y cremas,Cuidado facial y corporal,LITRO,FRANGELICO
Pomada hipoalergénica para proteger la zona del pañal Bephantol 100 g.,16.09,16.091,bebe,perfumeria e higiene,Cuidado facial y corporal,100 GR,
Ron añejo Brugal 70 cl.,16.09,22.99,bebidas,alcoholes,Bodega,LITRO,BRUGAL
Café con leche en cápsulas Nescafé Dolce Gusto 64 ud.,15.99,24.98,la despensa,desayuno,"Cacao, café e infusiones",KILO,NESCAFE
Mojama de Atún De Nuestra Tierra taco de 300 g,15.99,53.3,productos frescos,pescaderia,Marisco y pescado,KILO,NUESTRA TIERRA
Café espresso intenso en cápsulas Nescafé Dolce Gusto 64 ud.,15.99,35.69,la despensa,desayuno,"Cacao, café e infusiones",KILO,NESCAFE
Leche solar muy alta protección SPF 50+ Mustela 100 ml.,15.9,15.901,bebe,perfumeria e higiene,Cuidado facial y corporal,100 ML,
Crema antiestrías Suavinex 250 ml.,15.9,6.361,parafarmacia,cuidado corporal,Cuidado facial y corporal,100 ML,
VODKA IMPORTACION SMIRNOFF 1L,15.89,15.89,bebidas,alcoholes,Bodega,LITRO,
Aceite de oliva virgen extra Maestros de Hojiblanca 1 l.,15.89,15.89,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,MAESTROS HOJIBLANCA
Aceite de oliva virgen extra Carbonell 1 l.,15.89,15.89,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,CARBONELL
Aceite de oliva virgen extra arbequina Carbonell 1 l.,15.89,15.89,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,
Aceite de oliva virgen extra picual Carbonell 1 l.,15.89,15.89,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,
Aceite de oliva virgen extra hojiblanca Carbonell 1 l.,15.89,15.89,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,
Ramon Bilbao Reserva 2016,15.89,15.89,bebidas,vinos,Bodega,UNIDAD,RAMON BILBAO
Pañales Carrefour Baby Ultra Dry Talla 3 (4-9 kg) 104 ud.,15.89,0.16,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD,
Aceite de oliva virgen extra picual ecológico Oro Bailén 500 ml.,15.89,31.78,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,ORO BAILEN
